"hour","age1","age2","age3","age4"
"4am",0.2631,0.1684,0.1555,0.1454
"5am",0.2632,0.1658,0.155,0.147
"6am",0.2762,0.1613,0.1571,0.1515
"7am",0.3456,0.1556,0.1508,0.1772
"8am",0.3448,0.1447,0.1243,0.2179
"9am",0.3528,0.1417,0.1223,0.2278
"10am",0.3467,0.1368,0.1252,0.229
"11am",0.3434,0.1396,0.1217,0.2246
"12am",0.3449,0.1375,0.12,0.2081
"1pm",0.3434,0.1464,0.1225,0.2167
"2pm",0.3428,0.1457,0.1265,0.2137
"3pm",0.3282,0.1482,0.127,0.211
"4pm",0.3114,0.1487,0.1274,0.1975
"5pm",0.2906,0.1551,0.1315,0.1733
"6pm",0.281,0.1529,0.1468,0.1604
"7pm",0.2753,0.1714,0.1519,0.1455
"8pm",0.2686,0.1713,0.1532,0.1482
"9pm",0.2686,0.1719,0.1586,0.1489
"10pm",0.2648,0.1709,0.1584,0.1477
"11pm",0.2653,0.1688,0.1582,0.1456
"12pm",0.2678,0.165,0.158,0.1455
"1am",0.2662,0.1644,0.1578,0.1453
"2am",0.2655,0.1663,0.1582,0.1446
"3am",0.2658,0.166,0.158,0.1444
