hour,Duncan,Moran
4am,0.350752461473517,0.718948855649506
5am,0.350377963480269,0.718782273366609
6am,0.346919419178642,0.714569564767789
7am,0.340485237766553,0.702776587089356
8am,0.330365859431583,0.693203078251495
9am,0.295721452448036,0.713520836681523
10am,0.279269053833531,0.724670131518185
11am,0.275511315296409,0.719135486470445
12am,0.272810484049211,0.708737042691609
1pm,0.277774751741613,0.688961311434925
2pm,0.277214433379319,0.70627574913555
3pm,0.280369616618245,0.697927410316991
4pm,0.286222247844006,0.712869661222271
5pm,0.298451665645103,0.733957823148767
6pm,0.321617926917354,0.725707741058705
7pm,0.342098561365095,0.730942044189109
8pm,0.352880231356067,0.716615502011837
9pm,0.355598161253482,0.706214750949146
10pm,0.356753755897656,0.70793331534723
11pm,0.357023219071959,0.713418240970415
12pm,0.355467390104035,0.709398973669957
1am,0.355035447845527,0.713292784673031
2am,0.35556382550959,0.715612476341136
3am,0.35534004422644,0.717133767027144
