"hour","resarea1","resarea2","resarea3"
"4am",0.52701911706089,0.368923976661576,0.784373330343731
"5am",0.525904102892422,0.369358423318254,0.787117382997801
"6am",0.525950428428382,0.368179804658281,0.789760914343588
"7am",0.533971808093637,0.369725564049988,0.795363336198672
"8am",0.550450347732577,0.391674026491788,0.803011215955527
"9am",0.556920490124894,0.396195449089006,0.805961843114514
"10am",0.558309859190174,0.393560951794624,0.804588207220213
"11am",0.549169742543185,0.386725222437918,0.803686004886462
"12am",0.537371320353668,0.380120210205847,0.794553722059547
"1pm",0.563974812132555,0.403397767358134,0.800430245677064
"2pm",0.560452022924654,0.405626758866611,0.801611140212051
"3pm",0.561951690782031,0.411875432844968,0.808731532067624
"4pm",0.555822961045012,0.406553527323858,0.808900878690338
"5pm",0.543481517759997,0.392745980403488,0.803541065560087
"6pm",0.545241834302243,0.385697215136884,0.798658587888624
"7pm",0.545434883772105,0.385535799416413,0.795877797986101
"8pm",0.543027940954971,0.383380257904165,0.794717115387299
"9pm",0.537139733722606,0.379508105356143,0.791615199983888
"10pm",0.533568471509639,0.374898374543854,0.791118161841108
"11pm",0.531562910429862,0.372185869101946,0.78869150458492
"12pm",0.529299167315833,0.369085874804882,0.786335360913782
"1am",0.529173682167762,0.370398813534695,0.786409514454032
"2am",0.529787341249571,0.370179119036616,0.78640187673774
"3am",0.529868009364235,0.370377619546058,0.786338062223453
