"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.218252696209356,0.489575333011311,0.165447898217612,0.636455457476842
"5am",0.215387416050865,0.494248173069938,0.170679868789165,0.641323381425642
"6am",0.233689706879621,0.509810677569068,0.168397796954904,0.652906805252454
"7am",0.206695606673571,0.521486352605968,0.185146750388437,0.641964542487051
"8am",0.174279696140986,0.50922707497501,0.148506998309371,0.59644864935688
"9am",0.182591113532033,0.480541559708118,0.0943040159678875,0.589019452046688
"10am",0.172376813389309,0.478043183608266,0.110642788849274,0.593751882234619
"11am",0.150468805581831,0.44650394301019,0.144181890368513,0.567105685816841
"12am",0.203542922461954,0.512704817176773,0.263806820750426,0.593484844041654
"1pm",0.191954428275926,0.491466280057969,0.199619105435106,0.627032541795131
"2pm",0.182743204448969,0.482234708986631,0.167053593959446,0.609823305583526
"3pm",0.183064782877616,0.473353564091674,0.105684659405075,0.580844779474938
"4pm",0.184912049701438,0.477510446653762,0.0759920040442857,0.596601696022322
"5pm",0.21149998907562,0.479040991159378,0.159451751352337,0.552073474663003
"6pm",0.239436654780033,0.522548082385343,0.161280623030311,0.609057838677763
"7pm",0.229910469780909,0.495832137825605,0.157345562538875,0.572277388123528
"8pm",0.213780642308927,0.490019665771987,0.1501745344168,0.592163581571026
"9pm",0.220280126231658,0.49065956649339,0.172691976119673,0.603451478883038
"10pm",0.225069068024323,0.477894537975855,0.180261558051266,0.600186251601955
"11pm",0.225009798177975,0.497736077082785,0.143553466861674,0.613220452932542
"12pm",0.224116317902002,0.495967755461236,0.158125332197128,0.620607646565144
"1am",0.226095002154754,0.498192325697068,0.159897240704042,0.623365096406149
"2am",0.225465470724619,0.501878071534476,0.163261106266627,0.625573121964435
"3am",0.225453550759649,0.50514375739445,0.161360645218292,0.625327947517698
