"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1451,0.3574,0.1832,0.1584,0.2195
"5am",0.1442,0.357,0.1829,0.1593,0.2216
"6am",0.1502,0.3724,0.1835,0.1656,0.2262
"7am",0.1552,0.4642,0.1854,0.201,0.2355
"8am",0.1539,0.4709,0.2063,0.2464,0.2494
"9am",0.1629,0.4794,0.2082,0.2522,0.2596
"10am",0.1594,0.4742,0.1919,0.2503,0.2504
"11am",0.1614,0.4712,0.1954,0.2454,0.2573
"12am",0.1578,0.4582,0.2047,0.2304,0.2502
"1pm",0.1517,0.4729,0.2168,0.2379,0.263
"2pm",0.1462,0.4673,0.2215,0.2328,0.2575
"3pm",0.1469,0.4571,0.1946,0.2337,0.2501
"4pm",0.143,0.4273,0.1917,0.219,0.2417
"5pm",0.1357,0.3887,0.1886,0.1926,0.2226
"6pm",0.1351,0.3651,0.1864,0.1733,0.2291
"7pm",0.1381,0.3534,0.1943,0.1586,0.2299
"8pm",0.1439,0.3528,0.1929,0.159,0.2257
"9pm",0.144,0.3582,0.1896,0.1588,0.2221
"10pm",0.1439,0.3597,0.1892,0.1603,0.2196
"11pm",0.1437,0.3609,0.1892,0.1581,0.2195
"12pm",0.1404,0.3585,0.1848,0.1585,0.2214
"1am",0.1402,0.3578,0.186,0.1577,0.2216
"2am",0.1411,0.3572,0.1859,0.157,0.2213
"3am",0.1414,0.3573,0.1863,0.157,0.2214
